news_id,date,headline,event_type,affected_city,sentiment_score,sentiment_label,disruption_signal
NEWS0080,2021-12-10,Petrol prices hike increases logistics cost by 12% across India,Economic,Pan-India,-0.609,Highly Negative,1
NEWS0081,2022-06-21,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.575,Negative,1
NEWS0082,2023-09-20,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.925,Highly Negative,1
NEWS0083,2021-04-06,Steel plant workers strike halts Tata Steel supply,Strike,Jaipur,-0.695,Highly Negative,1
NEWS0084,2024-03-05,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.45,Negative,1
NEWS0085,2022-09-20,Indian Railways improves freight capacity by 15%,Positive,Pan-India,0.691,Highly Positive,0
NEWS0086,2024-03-19,Power cuts hit Bangalore's tech manufacturing supply chain,Infrastructure,Bangalore,-0.647,Highly Negative,1
NEWS0087,2022-10-14,Truck overloading ban causes shortage of vehicles on highways,Policy,Pan-India,-0.597,Negative,1
NEWS0088,2022-11-23,New logistics policy to reduce supply chain inefficiencies,Positive,Pan-India,0.788,Highly Positive,0
NEWS0089,2023-07-17,Rail freight disruption in Kolkata due to cyclone Amphan aftermath,Cyclone,Kolkata,-0.77,Highly Negative,1
NEWS0090,2021-12-07,Normal supply chain operations resume after festival season,Normal,Pan-India,0.738,Highly Positive,0
NEWS0091,2022-05-08,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.563,Negative,1
NEWS0092,2024-02-07,Flash floods in Hyderabad disrupt warehousing and freight movement,Flood,Hyderabad,-0.929,Highly Negative,1
NEWS0093,2023-08-30,Maharashtra floods damage key warehouses in Pune,Flood,Pune,-0.876,Highly Negative,1
NEWS0094,2021-04-26,Truck drivers strike disrupts highway logistics across North India,Strike,Delhi,-0.788,Highly Negative,1
NEWS0095,2022-05-28,Indian Railways improves freight capacity by 15%,Positive,Pan-India,0.787,Highly Positive,0
NEWS0096,2023-08-28,Petrol prices hike increases logistics cost by 12% across India,Economic,Pan-India,-0.514,Negative,1
NEWS0097,2023-05-07,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.481,Negative,1
NEWS0098,2024-02-08,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.918,Highly Negative,1
NEWS0099,2022-03-11,Farmers protest blocks NH-44 affecting supply from Punjab to Delhi,Road Blockage,Delhi,-0.832,Highly Negative,1
NEWS0100,2023-08-04,Demonetization causes cash-flow disruption in SME supply chains,Economic,Pan-India,-0.769,Highly Negative,1
NEWS0101,2022-12-08,"Fuel tanker drivers go on strike, fuel shortage looms",Strike,Pan-India,-0.828,Highly Negative,1
NEWS0102,2021-11-08,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.846,Highly Negative,1
NEWS0103,2023-12-01,Truck drivers strike disrupts highway logistics across North India,Strike,Delhi,-0.888,Highly Negative,1
NEWS0104,2023-04-05,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.542,Negative,1
NEWS0105,2021-09-23,Truck drivers strike disrupts highway logistics across North India,Strike,Delhi,-0.815,Highly Negative,1
NEWS0106,2022-02-06,"Fuel tanker drivers go on strike, fuel shortage looms",Strike,Pan-India,-0.848,Highly Negative,1
NEWS0107,2023-09-20,New highway connects Pune to Mumbai reducing delivery time,Positive,Pune,0.807,Highly Positive,0
NEWS0108,2021-07-03,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.941,Highly Negative,1
NEWS0109,2023-12-08,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.598,Negative,1
NEWS0110,2022-03-17,Flash floods in Hyderabad disrupt warehousing and freight movement,Flood,Hyderabad,-0.83,Highly Negative,1
NEWS0111,2023-12-28,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.416,Negative,1
NEWS0112,2021-06-20,"Union Budget boosts infrastructure spend, logistics to improve",Positive,Pan-India,0.811,Highly Positive,0
NEWS0113,2023-05-31,"Fuel tanker drivers go on strike, fuel shortage looms",Strike,Pan-India,-0.745,Highly Negative,1
NEWS0114,2023-08-21,Steel plant workers strike halts Tata Steel supply,Strike,Jaipur,-0.813,Highly Negative,1
NEWS0115,2022-09-03,Truck drivers strike disrupts highway logistics across North India,Strike,Delhi,-0.86,Highly Negative,1
NEWS0116,2022-03-05,"Coal shortage hits power plants, industrial supply chains affected",Shortage,Pan-India,-0.658,Highly Negative,1
NEWS0117,2023-10-16,Cyclone Tauktae disrupts Gujarat port and road connectivity,Cyclone,Ahmedabad,-0.954,Highly Negative,1
NEWS0118,2023-08-15,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.878,Highly Negative,1
NEWS0119,2022-01-19,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.901,Highly Negative,1
NEWS0120,2023-07-30,GST implementation causes temporary supply chain delays,Policy,Pan-India,-0.402,Negative,1
NEWS0121,2023-12-27,New logistics policy to reduce supply chain inefficiencies,Positive,Pan-India,0.649,Highly Positive,0
NEWS0122,2024-01-01,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.4,Negative,0
NEWS0123,2023-11-13,Power cuts hit Bangalore's tech manufacturing supply chain,Infrastructure,Bangalore,-0.527,Negative,1
NEWS0124,2022-11-12,New logistics policy to reduce supply chain inefficiencies,Positive,Pan-India,0.685,Highly Positive,0
NEWS0125,2022-09-26,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.661,Highly Negative,1
NEWS0126,2022-03-01,E-commerce surge boosts last-mile delivery efficiency,Positive,Pan-India,0.585,Positive,0
NEWS0127,2022-11-27,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.436,Negative,1
NEWS0128,2023-01-13,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.903,Highly Negative,1
NEWS0129,2022-03-21,Heatwave in Rajasthan affects perishable goods transportation,Weather,Jaipur,-0.623,Highly Negative,1
NEWS0130,2023-11-17,Normal supply chain operations resume after festival season,Normal,Pan-India,0.636,Highly Positive,0
NEWS0131,2023-02-07,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.835,Highly Negative,1
NEWS0132,2021-10-13,Normal supply chain operations resume after festival season,Normal,Pan-India,0.622,Highly Positive,0
NEWS0133,2023-11-17,"Fuel tanker drivers go on strike, fuel shortage looms",Strike,Pan-India,-0.843,Highly Negative,1
NEWS0134,2021-04-14,"Fuel tanker drivers go on strike, fuel shortage looms",Strike,Pan-India,-0.769,Highly Negative,1
NEWS0135,2022-12-20,New highway connects Pune to Mumbai reducing delivery time,Positive,Pune,0.704,Highly Positive,0
NEWS0136,2023-11-11,Cyclone Tauktae disrupts Gujarat port and road connectivity,Cyclone,Ahmedabad,-0.882,Highly Negative,1
NEWS0137,2024-04-03,Flash floods in Hyderabad disrupt warehousing and freight movement,Flood,Hyderabad,-0.866,Highly Negative,1
NEWS0138,2021-02-14,New highway connects Pune to Mumbai reducing delivery time,Positive,Pune,0.897,Highly Positive,0
NEWS0139,2021-07-27,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.493,Negative,1
NEWS0140,2023-12-19,Normal supply chain operations resume after festival season,Normal,Pan-India,0.729,Highly Positive,0
NEWS0141,2022-11-06,COVID lockdown disrupts manufacturing supply chains in Chennai,Pandemic,Chennai,-0.856,Highly Negative,1
NEWS0142,2021-12-13,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.515,Negative,1
NEWS0143,2021-11-13,New highway connects Pune to Mumbai reducing delivery time,Positive,Pune,0.876,Highly Positive,0
NEWS0144,2024-03-17,Cyclone Tauktae disrupts Gujarat port and road connectivity,Cyclone,Ahmedabad,-0.808,Highly Negative,1
NEWS0145,2022-10-20,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.814,Highly Negative,1
NEWS0146,2022-03-31,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.749,Highly Negative,1
NEWS0147,2023-07-06,"Union Budget boosts infrastructure spend, logistics to improve",Positive,Pan-India,0.83,Highly Positive,0
NEWS0148,2024-02-20,Cyclone Tauktae disrupts Gujarat port and road connectivity,Cyclone,Ahmedabad,-0.968,Highly Negative,1
NEWS0149,2024-02-02,Maharashtra floods damage key warehouses in Pune,Flood,Pune,-0.939,Highly Negative,1
NEWS0150,2023-01-31,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.922,Highly Negative,1
NEWS0151,2021-07-25,"Coal shortage hits power plants, industrial supply chains affected",Shortage,Pan-India,-0.796,Highly Negative,1
NEWS0152,2021-07-20,COVID lockdown disrupts manufacturing supply chains in Chennai,Pandemic,Chennai,-0.967,Highly Negative,1
NEWS0153,2023-03-10,New logistics policy to reduce supply chain inefficiencies,Positive,Pan-India,0.839,Highly Positive,0
NEWS0154,2022-02-23,Rail freight disruption in Kolkata due to cyclone Amphan aftermath,Cyclone,Kolkata,-0.855,Highly Negative,1
NEWS0155,2023-12-25,COVID lockdown disrupts manufacturing supply chains in Chennai,Pandemic,Chennai,-0.87,Highly Negative,1
NEWS0156,2023-01-11,E-commerce surge boosts last-mile delivery efficiency,Positive,Pan-India,0.597,Positive,0
NEWS0157,2022-05-30,Petrol prices hike increases logistics cost by 12% across India,Economic,Pan-India,-0.658,Highly Negative,1
NEWS0158,2022-07-18,Demonetization causes cash-flow disruption in SME supply chains,Economic,Pan-India,-0.608,Highly Negative,1
NEWS0159,2021-11-09,GST implementation causes temporary supply chain delays,Policy,Pan-India,-0.445,Negative,1
NEWS0160,2022-09-21,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.405,Negative,1
NEWS0161,2022-08-24,Steel plant workers strike halts Tata Steel supply,Strike,Jaipur,-0.814,Highly Negative,1
NEWS0162,2024-01-23,Flash floods in Hyderabad disrupt warehousing and freight movement,Flood,Hyderabad,-0.919,Highly Negative,1
NEWS0163,2021-11-29,New highway connects Pune to Mumbai reducing delivery time,Positive,Pune,0.893,Highly Positive,0
NEWS0164,2022-06-21,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.729,Highly Negative,1
NEWS0165,2022-02-19,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.683,Highly Negative,1
NEWS0166,2021-08-09,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.643,Highly Negative,1
NEWS0167,2023-11-29,GST implementation causes temporary supply chain delays,Policy,Pan-India,-0.476,Negative,1
NEWS0168,2021-10-12,Flash floods in Hyderabad disrupt warehousing and freight movement,Flood,Hyderabad,-0.94,Highly Negative,1
NEWS0169,2022-12-14,Farmers protest blocks NH-44 affecting supply from Punjab to Delhi,Road Blockage,Delhi,-0.825,Highly Negative,1
NEWS0170,2022-11-07,Farmers protest blocks NH-44 affecting supply from Punjab to Delhi,Road Blockage,Delhi,-0.796,Highly Negative,1
NEWS0171,2023-12-24,Truck overloading ban causes shortage of vehicles on highways,Policy,Pan-India,-0.466,Negative,1
NEWS0172,2023-09-23,Maharashtra floods damage key warehouses in Pune,Flood,Pune,-0.952,Highly Negative,1
NEWS0173,2022-09-30,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.594,Negative,1
NEWS0174,2023-09-27,E-commerce surge boosts last-mile delivery efficiency,Positive,Pan-India,0.779,Highly Positive,0
NEWS0175,2021-01-20,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.875,Highly Negative,1
NEWS0176,2022-07-04,Farmers protest blocks NH-44 affecting supply from Punjab to Delhi,Road Blockage,Delhi,-0.807,Highly Negative,1
NEWS0177,2023-02-17,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.465,Negative,1
NEWS0178,2021-05-12,Flash floods in Hyderabad disrupt warehousing and freight movement,Flood,Hyderabad,-0.782,Highly Negative,1
NEWS0179,2024-01-06,Truck drivers strike disrupts highway logistics across North India,Strike,Delhi,-0.889,Highly Negative,1
NEWS0180,2021-05-26,GST implementation causes temporary supply chain delays,Policy,Pan-India,-0.528,Negative,1
NEWS0181,2021-02-01,Indian Railways improves freight capacity by 15%,Positive,Pan-India,0.724,Highly Positive,0
NEWS0182,2022-08-28,GST implementation causes temporary supply chain delays,Policy,Pan-India,-0.414,Negative,1
NEWS0183,2023-05-10,"Fuel tanker drivers go on strike, fuel shortage looms",Strike,Pan-India,-0.801,Highly Negative,1
NEWS0184,2021-07-21,Truck overloading ban causes shortage of vehicles on highways,Policy,Pan-India,-0.591,Negative,1
NEWS0185,2022-03-22,Steel plant workers strike halts Tata Steel supply,Strike,Jaipur,-0.808,Highly Negative,1
NEWS0186,2022-12-07,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.503,Negative,1
NEWS0187,2022-07-11,"Fuel tanker drivers go on strike, fuel shortage looms",Strike,Pan-India,-0.742,Highly Negative,1
NEWS0188,2022-12-12,Normal supply chain operations resume after festival season,Normal,Pan-India,0.713,Highly Positive,0
NEWS0189,2023-07-25,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.543,Negative,1
NEWS0190,2022-12-06,Flash floods in Hyderabad disrupt warehousing and freight movement,Flood,Hyderabad,-0.911,Highly Negative,1
NEWS0191,2023-12-20,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.621,Highly Negative,1
NEWS0192,2023-10-19,Indian Railways improves freight capacity by 15%,Positive,Pan-India,0.697,Highly Positive,0
NEWS0193,2021-06-09,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.523,Negative,1
NEWS0194,2022-09-14,Flash floods in Hyderabad disrupt warehousing and freight movement,Flood,Hyderabad,-0.803,Highly Negative,1
NEWS0195,2023-10-21,"Coal shortage hits power plants, industrial supply chains affected",Shortage,Pan-India,-0.708,Highly Negative,1
NEWS0196,2023-07-05,Maharashtra floods damage key warehouses in Pune,Flood,Pune,-0.913,Highly Negative,1
NEWS0197,2021-06-19,Rail freight disruption in Kolkata due to cyclone Amphan aftermath,Cyclone,Kolkata,-0.855,Highly Negative,1
NEWS0198,2023-07-08,New highway connects Pune to Mumbai reducing delivery time,Positive,Pune,0.876,Highly Positive,0
NEWS0199,2022-05-26,New highway connects Pune to Mumbai reducing delivery time,Positive,Pune,0.712,Highly Positive,0
NEWS0200,2022-08-24,Truck overloading ban causes shortage of vehicles on highways,Policy,Pan-India,-0.484,Negative,1
NEWS0201,2023-08-14,COVID lockdown disrupts manufacturing supply chains in Chennai,Pandemic,Chennai,-0.884,Highly Negative,1
NEWS0202,2022-07-09,Cyclone Tauktae disrupts Gujarat port and road connectivity,Cyclone,Ahmedabad,-0.809,Highly Negative,1
NEWS0203,2023-10-16,"Union Budget boosts infrastructure spend, logistics to improve",Positive,Pan-India,0.855,Highly Positive,0
NEWS0204,2021-06-05,COVID lockdown disrupts manufacturing supply chains in Chennai,Pandemic,Chennai,-0.999,Highly Negative,1
NEWS0205,2024-03-31,COVID lockdown disrupts manufacturing supply chains in Chennai,Pandemic,Chennai,-0.968,Highly Negative,1
NEWS0206,2023-04-21,Petrol prices hike increases logistics cost by 12% across India,Economic,Pan-India,-0.683,Highly Negative,1
NEWS0207,2021-09-19,"Union Budget boosts infrastructure spend, logistics to improve",Positive,Pan-India,0.785,Highly Positive,0
NEWS0208,2021-12-13,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.419,Negative,1
NEWS0209,2023-08-12,"Union Budget boosts infrastructure spend, logistics to improve",Positive,Pan-India,0.807,Highly Positive,0
NEWS0210,2022-04-21,Power cuts hit Bangalore's tech manufacturing supply chain,Infrastructure,Bangalore,-0.672,Highly Negative,1
NEWS0211,2023-01-30,"Union Budget boosts infrastructure spend, logistics to improve",Positive,Pan-India,0.689,Highly Positive,0
NEWS0212,2022-11-15,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.657,Highly Negative,1
NEWS0213,2024-03-03,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.882,Highly Negative,1
NEWS0214,2021-09-09,Normal supply chain operations resume after festival season,Normal,Pan-India,0.603,Highly Positive,0
NEWS0215,2023-10-12,Farmers protest blocks NH-44 affecting supply from Punjab to Delhi,Road Blockage,Delhi,-0.788,Highly Negative,1
NEWS0216,2021-03-05,Indian Railways improves freight capacity by 15%,Positive,Pan-India,0.64,Highly Positive,0
NEWS0217,2021-07-21,Truck overloading ban causes shortage of vehicles on highways,Policy,Pan-India,-0.513,Negative,1
NEWS0218,2023-01-02,Indian Railways improves freight capacity by 15%,Positive,Pan-India,0.772,Highly Positive,0
NEWS0219,2021-05-28,Flash floods in Hyderabad disrupt warehousing and freight movement,Flood,Hyderabad,-0.808,Highly Negative,1
NEWS0220,2023-09-16,New highway connects Pune to Mumbai reducing delivery time,Positive,Pune,0.881,Highly Positive,0
NEWS0221,2021-05-30,Heatwave in Rajasthan affects perishable goods transportation,Weather,Jaipur,-0.601,Highly Negative,1
NEWS0222,2022-10-17,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.587,Negative,1
NEWS0223,2022-07-01,E-commerce surge boosts last-mile delivery efficiency,Positive,Pan-India,0.63,Highly Positive,0
NEWS0224,2023-12-25,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.685,Highly Negative,1
NEWS0225,2024-03-18,Maharashtra floods damage key warehouses in Pune,Flood,Pune,-0.899,Highly Negative,1
NEWS0226,2022-02-07,"Coal shortage hits power plants, industrial supply chains affected",Shortage,Pan-India,-0.678,Highly Negative,1
NEWS0227,2023-02-15,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.569,Negative,1
NEWS0228,2021-02-14,Rail freight disruption in Kolkata due to cyclone Amphan aftermath,Cyclone,Kolkata,-0.867,Highly Negative,1
NEWS0229,2023-09-27,Heatwave in Rajasthan affects perishable goods transportation,Weather,Jaipur,-0.542,Negative,1
NEWS0230,2022-12-29,Maharashtra floods damage key warehouses in Pune,Flood,Pune,-0.761,Highly Negative,1
